Year,Rank,Name,Age,Exp,G,Rsh,RshYd,Y/Rsh,RshTD,Rec,RecYd,RecTD,FP/G,FantPt,Team
2000,39,Thomas Jones,22.0,1.0,14,112,373,3.3,2,32,208,0,7.3,102.1,ARI
2000,40,Mike Alstott,27.0,5.0,13,131,465,3.5,5,13,93,0,7.6,98.8,TB
2000,41,J.R. Redmond,23.0,1.0,11,125,406,3.2,1,20,126,2,8.3,91.2,NE
2000,42,Brandon Bennett,27.0,3.0,15,89,330,3.7,3,19,168,0,5.8,86.8,CIN
2000,43,Randy Jordan,30.0,8.0,9,46,213,4.6,3,21,260,0,9.6,86.3,OAK
2000,44,Duce Staley,25.0,4.0,5,79,344,4.4,1,25,201,0,17.1,85.5,PHI
2000,45,Napoleon Kaufman,27.0,6.0,14,93,499,5.4,0,13,127,1,5.8,81.6,OAK
2000,46,Jermaine Fazande,25.0,2.0,11,119,368,3.1,2,16,104,0,6.8,75.2,SD
2000,47,Dorsey Levens,30.0,7.0,5,77,224,2.9,3,16,146,0,14.2,71.0,GB
2000,48,Stanley Pritchett,27.0,5.0,11,55,225,4.1,1,24,184,0,6.4,70.9,PHI
2000,49,Zack Crockett,28.0,6.0,9,42,131,3.1,7,8,61,0,7.7,69.2,OAK
2000,50,Kimble Anders,34.0,10.0,10,76,331,4.4,2,15,76,0,6.8,67.7,KC
2000,51,Antowain Smith,28.0,4.0,10,101,354,3.5,4,3,20,0,6.4,64.4,BUF
2000,52,Brad Hoover,24.0,1.0,11,89,290,3.3,1,15,112,0,5.6,61.2,CAR
2000,53,Justin Watson,25.0,2.0,8,54,249,4.6,4,8,35,0,7.6,60.4,STL
2000,54,Chad Morton,23.0,1.0,10,33,139,4.2,0,27,189,0,6.0,59.8,NO
2000,55,Richard Huntley,28.0,5.0,11,45,217,4.8,3,10,91,0,5.3,58.8,PIT
2000,56,Shaun Alexander,23.0,1.0,13,56,317,5.7,2,5,41,0,4.1,52.8,SEA
2000,57,Brian Mitchell,32.0,11.0,10,25,187,7.5,2,9,64,1,5.2,52.1,PHI
2000,58,Mario Bates,27.0,7.0,10,30,127,4.2,2,13,101,0,4.8,47.8,DET
2000,59,Errict Rhett,30.0,7.0,5,71,258,3.6,0,14,78,0,9.5,47.6,CLE
2000,60,Chris Hetherington,28.0,5.0,9,23,65,2.8,2,12,104,1,5.2,46.9,CAR
2000,61,Terrell Davis,28.0,6.0,5,78,282,3.6,2,2,4,0,8.5,42.6,DEN
2000,62,Cecil Martin,25.0,2.0,8,13,77,5.9,0,22,126,0,5.3,42.3,PHI
2000,63,Frank Moreau,24.0,1.0,10,67,179,2.7,4,0,0,0,4.2,41.9,KC
2000,64,Anthony Johnson,33.0,11.0,9,28,112,4.0,1,10,138,0,4.6,41.0,JAX
2000,65,Chris Fuamatu-Ma'afala,23.0,3.0,5,21,149,7.1,1,9,106,0,8.1,40.5,PIT
2000,66,Robert Holcombe,25.0,3.0,9,20,70,3.5,3,5,42,1,4.5,40.2,STL
2000,67,Thurman Thomas,34.0,13.0,8,28,136,4.9,0,15,115,0,5.0,40.1,MIA
2000,68,William Floyd,28.0,7.0,7,16,33,2.1,1,14,103,1,5.7,39.6,CAR
2000,69,Jamel White,23.0,1.0,9,45,145,3.2,0,13,100,0,4.2,37.5,CLE
2000,70,Obafemi Ayanbadejo,25.0,3.0,7,15,37,2.5,1,16,115,0,5.3,37.2,BAL
2000,71,J.J. Johnson,26.0,2.0,7,50,168,3.4,1,9,53,0,5.3,37.1,MIA
2000,72,Bernie Parmalee,33.0,9.0,4,27,87,3.2,2,9,66,0,9.1,36.3,NYJ
2000,73,Autry Denson,24.0,2.0,9,31,108,3.5,0,14,105,0,3.9,35.3,MIA
2000,74,Rodney Thomas,27.0,6.0,11,59,176,3.0,0,8,35,1,3.2,35.1,TEN
2000,75,Greg Comella,25.0,3.0,6,10,45,4.5,0,15,144,0,5.6,33.9,NYG
2000,76,Tony Carter,28.0,7.0,12,36,91,2.5,2,6,59,0,2.8,33.0,NE
