Year,Rank,Name,Age,Exp,G,Rsh,RshYd,RshTD,Rec,RecYd,Y/Rec,RecTD,FP/G,FantPt,Team
2000,17,Peerless Price,24.0,2.0,2,2,32,0,14,176,12.6,1,20.4,40.8,BUF
2000,18,Torry Holt,24.0,2.0,2,2,7,0,13,207,15.9,1,20.2,40.4,STL
2000,19,Johnnie Morton,29.0,7.0,4,4,25,0,13,180,13.8,1,9.9,39.5,DET
2000,20,Curtis Conway,29.0,8.0,3,3,31,0,11,124,11.3,2,12.8,38.5,SD
2000,21,David Boston,22.0,2.0,3,3,4,0,12,198,16.5,1,12.7,38.2,ARI
2000,22,Troy Brown,29.0,8.0,4,6,46,0,16,172,10.8,0,9.4,37.8,NE
2000,23,Wane McGarity,24.0,2.0,5,6,49,1,12,149,12.4,0,7.6,37.8,DAL
2000,24,Hines Ward,24.0,3.0,3,4,53,0,11,137,12.5,1,12.0,36.0,PIT
2000,25,Terry Glenn,26.0,5.0,3,4,39,0,10,137,13.7,1,11.2,33.6,NE
2000,26,Muhsin Muhammad,27.0,5.0,2,2,12,0,14,124,8.9,1,16.8,33.6,CAR
2000,27,Shawn Jefferson,31.0,10.0,1,1,1,0,7,148,21.1,1,27.9,27.9,ATL
2000,28,Terrence Wilkins,25.0,2.0,3,3,8,0,12,148,12.3,0,9.2,27.6,IND
2000,29,Keyshawn Johnson,28.0,5.0,2,2,5,0,9,115,12.8,1,13.5,27.0,TB
2000,30,Eddie Kennison,27.0,5.0,3,3,72,0,9,105,11.7,0,8.9,26.7,CHI
2000,31,Jermaine Lewis,26.0,5.0,3,3,38,0,8,70,8.8,1,8.3,24.8,BAL
2000,32,Marcus Robinson,25.0,3.0,1,1,9,0,8,90,11.3,1,23.9,23.9,CHI
2000,33,Dedric Ward,26.0,4.0,3,4,23,0,9,122,13.6,0,7.8,23.5,NYJ
2000,34,Jason Tucker,24.0,2.0,3,4,42,1,6,57,9.5,0,7.3,21.9,DAL
2000,35,Marty Booker,24.0,2.0,2,2,-1,0,11,106,9.6,0,10.8,21.5,CHI
2000,36,Tim Dwight,25.0,3.0,3,5,8,0,5,90,18.0,1,6.9,20.8,ATL
2000,37,Patrick Johnson,24.0,3.0,2,2,21,0,4,78,19.5,1,10.0,19.9,BAL
2000,38,Bill Schroeder,29.0,4.0,2,2,11,0,7,114,16.3,0,9.8,19.5,GB
2000,39,Dennis Northcutt,23.0,1.0,3,9,33,0,8,78,9.8,0,6.4,19.1,CLE
2000,40,Bert Emanuel,30.0,7.0,3,3,-2,0,4,79,19.8,1,5.9,17.7,MIA
2000,41,Wayne Chrebet,27.0,6.0,2,3,-3,0,5,66,13.2,1,8.6,17.3,NYJ
2000,42,Travis Taylor,21.0,1.0,3,3,11,0,9,72,8.0,0,5.8,17.3,BAL
2000,43,Leslie Shepherd,31.0,7.0,3,4,3,0,6,86,14.3,0,5.0,14.9,MIA
2000,44,R.Jay Soward,22.0,1.0,2,2,28,0,2,40,20.0,1,7.4,14.8,JAX
2000,45,Derrick Mason,26.0,4.0,1,1,1,0,5,92,18.4,0,14.3,14.3,TEN
2000,46,Bobby Engram,27.0,5.0,1,1,1,0,8,61,7.6,0,14.2,14.2,CHI
2000,47,Troy Edwards,23.0,2.0,3,3,4,0,8,49,6.1,0,4.4,13.3,PIT
2000,48,Irving Fryar,38.0,17.0,1,2,16,0,3,25,8.3,1,13.1,13.1,WAS
2000,49,Darrell Jackson,22.0,1.0,1,1,-1,0,2,42,21.0,1,12.1,12.1,SEA
2000,50,Ron Dixon,24.0,1.0,2,2,13,0,1,34,34.0,1,5.8,11.7,NYG
2000,51,Craig Yeast,24.0,2.0,1,1,15,0,4,57,14.3,0,11.2,11.2,CIN
2000,52,Jerry Rice,38.0,16.0,1,1,-2,0,5,59,11.8,0,10.7,10.7,SF
2000,53,Laveranues Coles,23.0,1.0,2,2,15,0,2,49,24.5,0,4.2,8.4,NYJ
2000,54,Larry Foster,24.0,1.0,2,2,31,0,2,30,15.0,0,4.0,8.1,DET
2000,55,Terance Mathis,33.0,11.0,1,1,-5,0,4,43,10.8,0,7.8,7.8,ATL
2000,56,Isaac Bruce,28.0,7.0,1,1,11,0,3,36,12.0,0,7.7,7.7,STL
2000,57,Jerome Pathon,25.0,3.0,1,1,3,0,3,42,14.0,0,7.5,7.5,IND
2000,58,Torrance Small,30.0,9.0,1,1,1,0,3,42,14.0,0,7.3,7.3,PHI
2000,59,Germane Crowell,24.0,3.0,1,1,12,0,3,21,7.0,0,6.3,6.3,DET
2000,60,O.J. McDuffie,31.0,8.0,1,1,-3,0,3,36,12.0,0,6.3,6.3,MIA
2000,61,Donald Driver,25.0,2.0,1,1,4,0,2,23,11.5,0,4.7,4.7,GB
2000,62,Michael Bates,31.0,8.0,2,4,9,0,1,23,23.0,0,2.1,4.2,CAR
2000,63,Tony Horne,24.0,3.0,2,2,6,0,1,6,6.0,0,1.1,2.2,STL
2000,64,Tai Streets,23.0,2.0,1,1,0,0,1,6,6.0,0,1.6,1.6,SF
